reference_area,measure,sex,age,education_level,domain,ref_area,measure_1,unit_measure,unit_of_measure,age_1,sex_1,education_lev,domain_1,year,year_1,value,observation_value,obs_status,observation_status,unit_mult,unit_multiplier,decimals,decimals_1,base_per,base_period
Argentina,2_7,_T,OLD,Total,HSL_2,ARG,Long hours in paid work,PT_SAL_SUB,Percentage of employees in the same subgroup,Old,Total,_T,Work and job quality,2019,,11.44,,A,Normal value,0,Units,2,Two,,
Argentina,2_7,_T,YOUNG,Total,HSL_2,ARG,Long hours in paid work,PT_SAL_SUB,Percentage of employees in the same subgroup,Young,Total,_T,Work and job quality,2019,,13.7,,A,Normal value,0,Units,2,Two,,
Argentina,2_7,_T,_T,Total,HSL_2,ARG,Long hours in paid work,PT_SAL,Percentage of employees,Total,Total,_T,Work and job quality,2019,,15.04,,A,Normal value,0,Units,2,Two,,
Argentina,2_8_DEP,_T,_T,Total,HSL_2,ARG,Full-time employees earning less than two-thirds of gross median earnings,PT_SAL_FT,Percentage of full-time employees,Total,Total,_T,Work and job quality,2023,,29.73436852,,A,Normal value,0,Units,2,Two,,
Argentina,2_8_VER,_T,_T,Total,HSL_2,ARG,Top earnings of full-time employees decile,FCTR_D1_EARN,Factor of lowest earnings decile,Total,Total,_T,Work and job quality,2023,,6.0,,A,Normal value,0,Units,2,Two,,
Argentina,5_1,F,_T,Total,HSL_5,ARG,Life expectancy at birth,Y,Years,Total,Female,_T,Health,2022,,79.3,,A,Normal value,0,Units,2,Two,,
Argentina,5_1,M,_T,Total,HSL_5,ARG,Life expectancy at birth,Y,Years,Total,Male,_T,Health,2022,,72.9,,A,Normal value,0,Units,2,Two,,
Argentina,5_1,_T,_T,Total,HSL_5,ARG,Life expectancy at birth,Y,Years,Total,Total,_T,Health,2022,,76.1,,A,Normal value,0,Units,2,Two,,
Argentina,5_3,F,_T,Total,HSL_5,ARG,"Deaths from suicide, alcohol, drugs",DT_10P5HB,Deaths per 100 000 inhabitants,Total,Female,_T,Health,2022,,7.063305086,,A,Normal value,0,Units,2,Two,,
Argentina,5_3,M,_T,Total,HSL_5,ARG,"Deaths from suicide, alcohol, drugs",DT_10P5HB,Deaths per 100 000 inhabitants,Total,Male,_T,Health,2022,,24.06872509,,A,Normal value,0,Units,2,Two,,
Argentina,5_3,_T,_T,Total,HSL_5,ARG,"Deaths from suicide, alcohol, drugs",DT_10P5HB,Deaths per 100 000 inhabitants,Total,Total,_T,Health,2022,,15.36420712,,A,Normal value,0,Units,2,Two,,
Argentina,6_1_DEP,_T,_T,Total,HSL_6,ARG,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,Total,Total,_T,Knowledge and skills,2022,,42.68711187,,A,Normal value,0,Units,2,Two,,
Argentina,6_1_VER,_T,_T,Total,HSL_6,ARG,Top reading scores decile,FCTR_D1_SCR,Factor of lowest scores decile,Total,Total,_T,Knowledge and skills,2022,,1.838905663,,A,Normal value,0,Units,2,Two,,
Argentina,6_2_DEP,_T,_T,Total,HSL_6,ARG,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,Total,Total,_T,Knowledge and skills,2022,,42.68711187,,A,Normal value,0,Units,2,Two,,
Argentina,6_2_VER,_T,_T,Total,HSL_6,ARG,Top mathematics scores decile,FCTR_D1_SCR,Factor of lowest scores decile,Total,Total,_T,Knowledge and skills,2022,,1.664256701,,A,Normal value,0,Units,2,Two,,
Argentina,6_3_DEP,_T,_T,Total,HSL_6,ARG,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,Total,Total,_T,Knowledge and skills,2022,,42.68711187,,A,Normal value,0,Units,2,Two,,
Argentina,6_3_VER,_T,_T,Total,HSL_6,ARG,Top science scores decile,FCTR_D1_SCR,Factor of lowest scores decile,Total,Total,_T,Knowledge and skills,2022,,1.733819812,,A,Normal value,0,Units,2,Two,,
Argentina,7_1,F,_T,Total,HSL_7,ARG,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,_T,Social connections,2024,,91.26291634,,A,Normal value,0,Units,2,Two,,
Argentina,7_1,M,_T,Total,HSL_7,ARG,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,_T,Social connections,2024,,89.27723508,,D,Definition differs,0,Units,2,Two,,
Argentina,7_1,_T,MID,Total,HSL_7,ARG,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,_T,Social connections,2024,,87.24427969,,A,Normal value,0,Units,2,Two,,
Argentina,7_1,_T,OLD,Total,HSL_7,ARG,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,_T,Social connections,2024,,87.11091132,,A,Normal value,0,Units,2,Two,,
Argentina,7_1,_T,YOUNG,Total,HSL_7,ARG,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,_T,Social connections,2024,,93.86980235,,A,Normal value,0,Units,2,Two,,
Argentina,7_1,_T,_T,Secondary education,HSL_7,ARG,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_2_3,Social connections,2024,,90.56162492,,A,Normal value,0,Units,2,Two,,
Argentina,7_1,_T,_T,Tertiary education,HSL_7,ARG,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_5T8,Social connections,2024,,94.37419302,,A,Normal value,0,Units,2,Two,,
Argentina,7_1,_T,_T,Total,HSL_7,ARG,Social support,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,_T,Social connections,2024,,90.3251427,,A,Normal value,0,Units,2,Two,,
Argentina,7_1_DEP,F,_T,Total,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,_T,Social connections,2024,,8.463168794,,A,Normal value,0,Units,2,Two,,
Argentina,7_1_DEP,M,_T,Total,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,_T,Social connections,2024,,10.07337262,,D,Definition differs,0,Units,2,Two,,
Argentina,7_1_DEP,_T,MID,Total,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,_T,Social connections,2024,,12.46045808,,A,Normal value,0,Units,2,Two,,
Argentina,7_1_DEP,_T,OLD,Total,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,_T,Social connections,2024,,11.99258694,,A,Normal value,0,Units,2,Two,,
Argentina,7_1_DEP,_T,YOUNG,Total,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,_T,Social connections,2024,,5.777465585,,A,Normal value,0,Units,2,Two,,
Argentina,7_1_DEP,_T,_T,Secondary education,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_2_3,Social connections,2024,,8.903006723,,A,Normal value,0,Units,2,Two,,
Argentina,7_1_DEP,_T,_T,Tertiary education,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_5T8,Social connections,2024,,5.507550165,,A,Normal value,0,Units,2,Two,,
Argentina,7_1_DEP,_T,_T,Total,HSL_7,ARG,Lack of social support,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,_T,Social connections,2024,,9.223853841,,A,Normal value,0,Units,2,Two,,
Argentina,8_2,_T,_T,Total,HSL_8,ARG,Voter turnout,PT_VOTES,Percentage of votes,Total,Total,_T,Civic engagement,2023,,77.01,,A,Normal value,0,Units,2,Two,,
Argentina,9_2,_T,_T,Total,HSL_9,ARG,Exposed to air pollution,PT_POP,Percentage of population,Total,Total,_T,Environmental quality,2020,,99.873177,,A,Normal value,0,Units,2,Two,,
Argentina,9_3,_T,_T,Total,HSL_9,ARG,Exposure to extreme temperature,PT_POP,Percentage of population,Total,Total,_T,Environmental quality,2023,,48.43979662,,A,Normal value,0,Units,2,Two,,
Australia,10_1,F,_T,Total,HSL_10,AUS,Homicides,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Female,_T,Safety,2022,,0.5,,A,Normal value,0,Units,2,Two,,
Australia,10_1,M,_T,Total,HSL_10,AUS,Homicides,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Male,_T,Safety,2022,,1.2,,A,Normal value,0,Units,2,Two,,
Australia,10_1,_T,_T,Total,HSL_10,AUS,Homicides,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Total,_T,Safety,2022,,0.9,,A,Normal value,0,Units,2,Two,,
Australia,10_2,F,_T,Total,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,_T,Safety,2024,,51.5,,D,Definition differs,0,Units,2,Two,,
Australia,10_2,M,_T,Total,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,_T,Safety,2024,,82.0,,A,Normal value,0,Units,2,Two,,
Australia,10_2,_T,MID,Total,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,_T,Safety,2024,,73.57142857,,A,Normal value,0,Units,2,Two,,
Australia,10_2,_T,OLD,Total,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,_T,Safety,2024,,62.28571429,,A,Normal value,0,Units,2,Two,,
Australia,10_2,_T,YOUNG,Total,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,_T,Safety,2024,,67.25,,A,Normal value,0,Units,2,Two,,
Australia,10_2,_T,_T,Primary education,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_1,Safety,2023,,55.12337418,,D,Definition differs,0,Units,2,Two,,
Australia,10_2,_T,_T,Secondary education,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_2_3,Safety,2024,,65.8,,A,Normal value,0,Units,2,Two,,
Australia,10_2,_T,_T,Tertiary education,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_5T8,Safety,2024,,72.0,,A,Normal value,0,Units,2,Two,,
Australia,10_2,_T,_T,Total,HSL_10,AUS,Feeling safe at night,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,_T,Safety,2024,,67.0,,A,Normal value,0,Units,2,Two,,
Australia,10_2_DEP,F,_T,Total,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,_T,Safety,2024,,47.0,,D,Definition differs,0,Units,2,Two,,
Australia,10_2_DEP,M,_T,Total,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,_T,Safety,2024,,17.5,,A,Normal value,0,Units,2,Two,,
Australia,10_2_DEP,_T,MID,Total,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,_T,Safety,2024,,26.0,,A,Normal value,0,Units,2,Two,,
Australia,10_2_DEP,_T,OLD,Total,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,_T,Safety,2024,,34.85714286,,A,Normal value,0,Units,2,Two,,
Australia,10_2_DEP,_T,YOUNG,Total,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,_T,Safety,2024,,32.0,,A,Normal value,0,Units,2,Two,,
Australia,10_2_DEP,_T,_T,Primary education,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_1,Safety,2023,,44.87662582,,D,Definition differs,0,Units,2,Two,,
Australia,10_2_DEP,_T,_T,Secondary education,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_2_3,Safety,2024,,33.0,,A,Normal value,0,Units,2,Two,,
Australia,10_2_DEP,_T,_T,Tertiary education,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_5T8,Safety,2024,,27.4,,A,Normal value,0,Units,2,Two,,
Australia,10_2_DEP,_T,_T,Total,HSL_10,AUS,Not feeling safe at night,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,_T,Safety,2024,,33.0,,A,Normal value,0,Units,2,Two,,
Australia,10_3,_T,_T,Total,HSL_10,AUS,Road deaths,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Total,_T,Safety,2023,,4.775035753,,A,Normal value,0,Units,2,Two,,
Australia,11_1,F,_T,Total,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Total,Female,_T,Subjective well-being,2020,,7.2,,A,Normal value,0,Units,2,Two,,
Australia,11_1,M,_T,Total,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Total,Male,_T,Subjective well-being,2020,,7.1,,A,Normal value,0,Units,2,Two,,
Australia,11_1,_T,MID,Total,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Middle-aged,Total,_T,Subjective well-being,2020,,7.0,,A,Normal value,0,Units,2,Two,,
Australia,11_1,_T,OLD,Total,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Old,Total,_T,Subjective well-being,2020,,7.4,,A,Normal value,0,Units,2,Two,,
Australia,11_1,_T,YOUNG,Total,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Young,Total,_T,Subjective well-being,2020,,7.0,,A,Normal value,0,Units,2,Two,,
Australia,11_1,_T,_T,Primary education,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Total,Total,ISCED11_1,Subjective well-being,2020,,7.3,,A,Normal value,0,Units,2,Two,,
Australia,11_1,_T,_T,Secondary education,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Total,Total,ISCED11_2_3,Subjective well-being,2020,,7.1,,A,Normal value,0,Units,2,Two,,
Australia,11_1,_T,_T,Tertiary education,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Total,Total,ISCED11_5T8,Subjective well-being,2020,,7.3,,A,Normal value,0,Units,2,Two,,
Australia,11_1,_T,_T,Total,HSL_11,AUS,Life satisfaction,0_TO_10,0-10 scale,Total,Total,_T,Subjective well-being,2020,,7.2,,A,Normal value,0,Units,2,Two,,
